1950,0.536,1.581,1.788,1.674,0.554,3.057,2.137,1.142,0.632,1.682,0.893,2.461,1.511
1951,1.32,0.474,-0.706,-1.026,-1.293,-0.522,-1.33,-0.749,-1.168,-1.439,-0.985,-0.901,-0.694
1952,-0.925,-0.826,-0.024,-0.731,0.668,0.777,0.511,-0.383,-0.239,0.117,-0.224,-1.4,-0.223
1953,0.123,-0.717,-0.786,-0.182,-2.717,-0.471,-0.058,-1.892,-1.353,-0.183,-0.364,-0.611,-0.768
1954,0.572,-0.518,-0.307,0.409,0.146,-0.495,0.362,0.899,0.168,0.085,0.162,1.315,0.233
1955,-0.678,1.305,0.128,-0.815,0.876,1.626,1.795,1.379,1.395,1.514,1.382,0.909,0.901
1956,1.156,1.103,0.893,1.062,1.441,1.257,1.187,1.05,0.061,1.921,0.112,0.989,1.019
1957,0.434,-0.361,-0.368,0.05,-1.179,-0.367,0.178,-1.078,-1.006,-0.087,-1.229,-0.438,-0.454
1958,-1.893,-0.776,-0.315,0.029,-1.391,-0.266,0.23,0.721,-0.344,-0.558,-0.612,-0.838,-0.501
1959,-0.939,-1.497,0.774,0.345,0.139,-0.955,-0.465,-0.677,-0.005,0.34,0.902,0.815,-0.102
1960,-0.047,-0.247,0.474,0.788,0.303,-0.471,0.497,0.526,0.653,-0.196,0.605,0.633,0.293
1961,-0.429,0.585,-2.473,1.147,0.18,-0.527,0.184,-0.162,0.107,-0.73,0.68,1.31,-0.011
1962,1.716,-0.414,-0.322,0.303,1.104,0.369,-0.037,0.258,0.525,0.948,0.273,-0.098,0.386
1963,0.799,0.261,0.66,0.514,0.139,-1.3,-0.132,-0.432,-0.597,-1.456,-0.93,-1.352,-0.319
1964,-0.525,-0.129,0.711,1.779,-0.019,0.717,0.618,1.32,1.287,1.259,-0.058,-0.494,0.539
1965,-0.523,0.009,0.242,-1.342,-0.034,-1.632,-2.321,-1.365,-1.414,-1.218,-1.858,0.022,-0.953
1966,-1.355,-0.536,-1.747,-0.899,-0.715,0.144,-0.149,0.189,-0.239,-0.325,-0.202,-0.607,-0.537
1967,1.524,1.199,0.648,-0.119,-0.406,0.673,0.175,0.439,0.439,-0.169,-0.567,-0.777,0.255
1968,0.473,0.773,-0.556,-0.309,1.212,1.273,0.767,-0.204,-0.358,-0.353,-0.442,0.126,0.2
1969,-1.356,-0.853,-0.026,-0.899,-0.777,-0.239,-0.727,-0.707,-1.1,-1.355,-0.177,0.243,-0.664
1970,-1.256,-1.219,0.058,-0.562,0.038,1.017,-0.52,0.305,1.177,0.741,1.85,1.832,0.289
